number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
34,0.00015396405215142294,40,0,180,120,10,0.0007849513470022514,1,24,0.7999999999999999,0.018228693854566675,COMPLETE
35,9.764100541360676e-05,40,0.1,150,120,8,0.0007727656095152759,1,24,0.75,0.013205416627553269,COMPLETE
36,0.0013264796696603298,40,0.1,180,90,8,0.0007979936246423968,7,24,0.75,0.012648566241900402,COMPLETE
37,0.00040545770898461344,50,0.1,120,120,8,0.000753422453751002,1,24,0.75,0.013474960151389145,COMPLETE
38,0.00035309852682985365,40,0.1,150,90,8,0.0009609001086932626,1,24,0.75,0.010537203736957294,COMPLETE
39,0.005082727856934071,50,0.1,180,120,8,3.0397549659951395e-05,1,24,0.75,0.07921480175130693,COMPLETE
40,0.0010524185141548513,40,0.1,120,90,8,0.0006905045057062188,1,24,0.75,0.015940080991204683,COMPLETE
41,0.06931665241718292,40,0.1,150,120,10,0.0009979849629722787,3,24,0.75,0.019113989438313418,COMPLETE
42,0.0005432731239125132,40,0.1,150,120,10,0.000594813043500293,3,24,0.75,0.01791702654629554,COMPLETE
43,0.0014284680830314756,40,0,150,120,10,0.0004044268927342147,1,20,0.7999999999999999,0.013201020110811883,COMPLETE
44,0.001191647555679083,50,0,180,120,8,0.0002681843782305789,1,24,0.75,0.021803946608014026,COMPLETE
45,0.03547101691365242,20,0.1,150,150,12,0.0007536983901506472,3,20,0.7999999999999999,0.010146562504096474,COMPLETE
46,0.00011065719882026314,40,0,180,90,10,0.00051450518439842,1,24,0.75,0.01736264537350333,COMPLETE
47,0.00035587199381552636,40,0,180,90,10,0.0006527709524539499,1,24,0.75,0.015131108981582998,COMPLETE
48,0.012436092924326658,40,0.1,180,90,10,0.0007721768368350273,7,24,0.75,0.011304883265288872,COMPLETE
49,0.00524799644947052,50,0,180,30,10,0.00048090821253961557,1,24,0.75,0.016981853357251414,COMPLETE
50,0.0017280232626944781,40,0,180,120,10,0.0001136035992367295,1,24,0.75,0.030011123474241147,COMPLETE
51,0.0033525466918945313,40,0,150,120,8,0.00033674714424454267,3,24,0.75,0.018935641487077767,COMPLETE
52,0.000669011411567529,30,0,150,120,12,0.00053591438176173,1,24,0.75,0.014125381699528034,COMPLETE
53,0.029861684143543243,40,0,180,120,10,0.0008227150315547835,3,20,0.75,0.02346065335920375,COMPLETE
54,0.002507761341985315,20,0,150,90,6,0.0006532405413961823,1,20,0.7999999999999999,0.02028952003450544,COMPLETE
55,0.004584254200259845,30,0,180,150,12,0.00020947872022792995,3,24,0.75,0.015215761571669111,COMPLETE
56,0.00023499059752793983,40,0,120,120,10,0.00038516590931854605,1,16,0.7999999999999999,0.011944036376544233,COMPLETE
57,0.003729469608515501,40,0,150,90,8,0.0008674150821074468,9,16,0.75,0.01819288756932349,COMPLETE
58,0.004876215321322282,30,0,180,0,10,0.00030592612775234775,1,20,0.7999999999999999,0.03434771869350901,COMPLETE
59,0.019044963121414186,50,0.1,150,120,12,0.0004908218430263779,3,16,0.75,0.013205852253132122,COMPLETE
60,0.006762038543820381,30,0,150,150,10,7.265772342387374e-05,1,24,0.7,0.05984483638076867,COMPLETE
61,0.08084609657526017,40,0,120,120,10,0.0003853861840932443,1,16,0.7999999999999999,0.01189553100487939,COMPLETE
62,0.0012545448960736393,40,0,120,120,10,0.0006913768796781037,1,16,0.7999999999999999,0.010952852086746016,COMPLETE
63,0.0005681248847395181,40,0,120,120,10,0.00023626004308622853,1,16,0.7999999999999999,0.01663104823675888,COMPLETE
64,0.000581525606685318,40,0,120,90,10,0.0005372364055889911,1,16,0.7999999999999999,0.012173205441938235,COMPLETE
65,0.0019383723381906747,40,0,180,120,12,0.0008436683584950064,1,16,0.7999999999999999,0.01381154137017605,COMPLETE
66,0.0007031446012357871,30,0,180,150,8,0.000450846635231677,1,16,0.7999999999999999,0.015500507042987772,COMPLETE
67,0.003853425309062004,50,0,120,120,10,0.00034044359075500774,5,16,0.75,0.028207879446587283,COMPLETE
68,0.031758798845112325,40,0,210,60,10,0.0006503818858143021,3,16,0.7999999999999999,0.019910472600314248,COMPLETE
69,0.0018666262738406658,40,0,180,120,8,1.578580978124186e-05,1,16,0.75,0.022386320585632186,COMPLETE
70,0.006542211088041465,30,0.1,150,90,12,5.419007760279349e-05,1,20,0.75,0.010064631478046968,COMPLETE
71,0.0010203648669024309,30,0,180,150,10,0.000561109295245853,1,16,0.7999999999999999,0.025807892549655896,COMPLETE
72,0.000269511107277746,30,0,180,150,10,0.0004162980448554256,1,16,0.7999999999999999,0.01266422588522638,COMPLETE
