number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
20,0.04130117446184158,40,0,210,60,8,0.0002622512925061166,7,20,0.75,0.0630840919842227,COMPLETE
21,0.010783100128173828,10,0,150,30,12,7.47579706883001e-05,1,16,0.75,0.04586479548982017,COMPLETE
22,0.014403032138943672,10,0,150,0,10,0.00010747669860152042,1,16,0.75,0.0438939851691946,COMPLETE
23,0.0016125137801282108,20,0,150,30,12,3.886154435652376e-05,3,16,0.75,0.0688927352434591,COMPLETE
24,0.06289090029895306,20,0,120,0,10,3.128188619918871e-05,3,16,0.7999999999999999,0.08520889955814331,COMPLETE
25,0.011397966369986533,20,0,180,90,8,1.9771484928215077e-05,3,20,0.7,0.06522911009654919,COMPLETE
26,0.013645997643470765,20,0.1,150,30,10,4.948790667169584e-05,5,24,0.7999999999999999,0.07160121468154616,COMPLETE
27,0.061251989503701525,30,0,120,60,12,6.557510614450217e-05,3,20,0.75,0.011968356343250696,COMPLETE
28,0.03309913575649261,20,0,180,0,10,3.702103188828238e-05,3,16,0.7999999999999999,0.017099312147726715,COMPLETE
29,0.034858246054500344,10,0,150,30,6,2.0318692925083825e-05,5,16,0.75,0.029599079029341783,COMPLETE
30,0.029465471704800923,30,0,180,120,8,0.00019587427482326445,5,20,0.7999999999999999,0.03538975217323925,COMPLETE
31,0.009485226799733936,10,0,150,30,12,0.0001024146047405339,1,16,0.75,0.05617634662744542,COMPLETE
32,0.008908233558759093,10,0,150,30,12,0.0003791319027942604,1,16,0.75,0.07817724234464107,COMPLETE
33,0.0009583135019056499,20,0,150,30,12,0.00013475517488324823,1,16,0.75,0.039922222542193526,COMPLETE
34,0.002045879202584426,30,0,150,0,12,0.00013715134148903907,1,16,0.75,0.03855046745005244,COMPLETE
35,0.009685745649039745,20,0,120,60,10,0.00018537355291841503,3,16,0.7,0.022271590443138947,COMPLETE
36,0.004433432919904589,20,0,150,30,12,1.1750257626890552e-05,1,16,0.75,0.055093139832895634,COMPLETE
37,0.000531269811714689,30,0,120,90,10,0.0001087192883045352,3,24,0.7,0.030147703402962005,COMPLETE
38,0.03890823225180308,30,0.1,120,90,10,0.0001204006469264932,9,24,0.7,0.02927834787787738,COMPLETE
39,0.00015339340607170015,40,0,120,90,10,0.0003439677907573006,1,24,0.7,0.015681316832619113,COMPLETE
40,1.8041250950773246e-05,40,0,120,90,10,0.00030401760960006364,1,24,0.7,0.023208289780378095,COMPLETE
41,0.000531224929727614,40,0,120,90,10,0.0003044366795744186,1,24,0.7,0.020393553521140768,COMPLETE
42,5.710139885195531e-05,40,0,120,90,10,0.0003200258498325402,1,24,0.7,0.0233162096726547,COMPLETE
43,0.003254373604431748,40,0,120,90,10,0.0003398047182336067,1,24,0.7,0.022031759447169195,COMPLETE
44,0.00018935028347186745,40,0,120,90,10,0.0004764734799773653,1,24,0.7,0.025220277123837155,COMPLETE
45,8.404426043853163e-05,40,0,120,120,10,0.0005617002345347193,1,24,0.7,0.020081218274330983,COMPLETE
46,0.0006625363416969776,50,0,120,120,10,0.0005178868766106795,1,24,0.7,0.026777273578329597,COMPLETE
47,9.902666643029079e-05,40,0.1,120,120,10,0.000901010623202202,1,24,0.7,0.02402581906296351,COMPLETE
48,0.00017903869040310382,50,0.1,120,150,10,0.0009585606346266117,1,24,0.7,0.016301933188966628,COMPLETE
49,6.814914959250019e-05,40,0.1,120,120,10,0.0006519660610915352,1,24,0.7,0.018189478720890943,COMPLETE
50,4.4862477079732346e-05,40,0.1,120,120,10,0.0006611482922929227,1,24,0.7,0.018676118170513626,COMPLETE
51,8.424957632087171e-05,40,0.1,120,120,10,0.0006693947405536446,1,24,0.7,0.01870749866858649,COMPLETE
52,0.00018834717338904737,40,0.1,120,120,10,0.000684640304958141,1,24,0.7,0.018692589172976698,COMPLETE
53,0.00033498428529128433,40,0.1,120,120,10,0.000597946365242827,1,24,0.7,0.020850764278584368,COMPLETE
54,0.0021660334896296263,40,0.1,120,150,10,0.0007665023287738006,1,24,0.7,0.017648002687721518,COMPLETE
55,0.00012554797111079098,50,0.1,120,120,10,0.00024562406317710353,1,24,0.7,0.014722201754250258,COMPLETE
56,0.0012449026806280016,40,0.1,120,150,10,0.0004369360122761219,1,24,0.7,0.019049442784399913,COMPLETE
57,0.00012751996517181396,50,0.1,120,120,10,0.000586790756933869,1,24,0.7,0.020511963955411786,COMPLETE
58,0.011390275321900845,40,0.1,120,120,10,0.0007885391221860444,3,24,0.7,0.01389691753973787,COMPLETE
59,0.0004398283432237804,40,0.1,120,120,8,0.0005591311627511044,1,24,0.7,0.023244690157004127,COMPLETE
