number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
17,0.03538065254688263,30,0,150,30,10,1.055122546966916e-05,3,20,0.7,0.0290119205733664,COMPLETE
18,0.0631979875266552,20,0,120,0,8,4.25608703158548e-05,5,20,0.7,0.013712698407247799,COMPLETE
19,0.0051825854182243345,50,0,150,90,10,0.00013936432621325246,3,20,0.7,0.01877328415470619,COMPLETE
20,0.04771920265629888,10,0,180,30,8,2.8742225676593746e-05,5,20,0.7,0.055171327410455134,COMPLETE
21,0.0018787221517413855,40,0,120,90,12,0.0003641713517546217,1,24,0.75,0.013580341767573202,COMPLETE
22,0.0016416226280853152,40,0,120,30,12,0.00019381526878573465,1,24,0.75,0.014285127962636713,COMPLETE
23,0.05773918390274048,50,0,120,0,10,5.775519547157984e-05,1,24,0.75,0.022676627902558154,COMPLETE
24,0.001843362324871123,40,0,150,60,10,0.0003198373135138696,3,20,0.7,0.012152735177484728,COMPLETE
25,0.08536949038505554,50,0,120,30,12,0.00014263624976561007,1,20,0.75,0.01695361881542893,COMPLETE
26,0.006349212769418955,40,0,150,120,10,0.0009100676802974983,3,20,0.7,0.017027597086594255,COMPLETE
27,0.026023699045181273,50,0,120,0,12,0.000423706659974314,1,24,0.75,0.013235358087093654,COMPLETE
28,0.004219747334718704,40,0,120,60,10,2.2716408559879166e-05,1,24,0.7,0.03185563771577062,COMPLETE
29,0.008409574752052625,30,0.1,150,60,8,0.0005592223606302099,7,16,0.75,0.02337880725907213,COMPLETE
30,0.020464829504489898,50,0,180,30,12,5.0585009461908956e-05,3,20,0.7999999999999999,0.010079601310187092,COMPLETE
31,0.0017073953989893199,40,0,120,30,12,0.00020839267587809094,1,24,0.75,0.0144795502293169,COMPLETE
32,0.0021188798593357204,40,0,120,0,12,0.00016504167054950838,1,24,0.75,0.01202407768150115,COMPLETE
33,0.0027949321859826646,30,0,120,90,12,0.0002661961284113867,1,24,0.75,0.015273136070916231,COMPLETE
34,0.008874498754739762,50,0.1,150,30,10,0.00046807101100721345,5,24,0.75,0.018092287260404717,COMPLETE
35,0.0012909826298709958,40,0,120,60,12,0.00011432559006159052,1,20,0.7999999999999999,0.09234441426649949,COMPLETE
36,0.023179861903190612,40,0.1,210,60,10,0.0001118685308906452,3,20,0.7999999999999999,0.09950508269921342,COMPLETE
37,0.04897813081741333,50,0,150,90,6,7.057648850948946e-05,1,20,0.7999999999999999,0.07532507908264671,COMPLETE
38,0.031201474368572235,30,0.1,120,60,12,0.00010003584593529813,3,16,0.7999999999999999,0.07195237803114932,COMPLETE
39,0.0012779955635778607,40,0,150,60,10,0.0008075781569002351,3,20,0.7999999999999999,0.05598601989511623,COMPLETE
40,0.012270485460758209,50,0,150,60,10,0.0008133081864540306,5,20,0.7999999999999999,0.06313054442307665,COMPLETE
41,0.012237235717475415,40,0,150,60,10,0.0006835262681231477,3,20,0.7999999999999999,0.085342282005655,COMPLETE
42,0.008646578527987003,40,0,120,90,10,0.0005597717087089948,1,20,0.7999999999999999,0.04677738073478424,COMPLETE
43,0.011018890514969825,40,0,150,120,12,0.0004087994789645258,9,20,0.7999999999999999,0.03601489549340475,COMPLETE
44,0.007924560620449484,20,0,180,60,8,0.0007329897063905544,3,20,0.7999999999999999,0.05504029131538057,COMPLETE
45,0.00408179135993123,30,0,120,60,12,0.0009833783248612861,1,16,0.7999999999999999,0.08090296460803928,COMPLETE
46,0.0008891323208808899,50,0.1,120,30,10,0.00028757799792531884,1,20,0.7,0.0619121821586493,COMPLETE
47,0.005868188142776489,50,0.1,150,0,10,7.489943279563249e-05,3,20,0.7,0.06578683208946376,COMPLETE
48,0.0024635251611471176,50,0.1,120,30,10,0.00028524024301612624,5,20,0.7,0.04608473361949994,COMPLETE
49,0.007905147224664687,50,0.1,150,30,8,0.00013580358599639354,7,20,0.7,0.06062346299382722,COMPLETE
50,0.011376389861106872,50,0.1,120,0,10,1.9511925092870038e-05,1,20,0.7,0.09804311122462665,COMPLETE
51,0.0014016271336004138,40,0.1,120,60,10,0.0005296959889565669,1,20,0.7,0.05177505425227669,COMPLETE
52,0.0017888805479742587,40,0.1,120,60,10,0.0005479611633394544,1,20,0.7,0.051589558357065926,COMPLETE
53,0.005654779374599457,50,0.1,120,30,10,0.00026891525558104894,1,20,0.7,0.044042798146140524,COMPLETE
54,0.00623342702165246,40,0.1,120,90,10,0.0003517586628149856,1,20,0.7,0.058174110254792404,COMPLETE
55,0.014130453765392303,50,0.1,120,60,10,0.00016830027372042664,3,20,0.7,0.03949735154185028,COMPLETE
56,0.007187030464410782,50,0.1,180,30,8,0.0002466603237017685,1,20,0.7,0.06901736614309575,COMPLETE
57,0.0015676879440434277,40,0.1,210,0,10,0.0006278597112859551,1,20,0.7,0.08638157652489378,COMPLETE
58,0.001834249624516815,30,0,150,30,10,0.00037828702669395704,3,20,0.7,0.052013073464175434,COMPLETE
59,0.02193337131757289,10,0.1,120,60,8,0.0004699485910867968,1,20,0.7,0.03192764528600473,COMPLETE
60,0.018794819116592407,50,0,150,90,10,1.2381881376759949e-05,3,20,0.7,0.07760407758345272,COMPLETE
61,0.0015886417590081693,40,0,120,60,12,0.0008094161127439579,1,20,0.7,0.020161862255891134,COMPLETE
62,0.0016055608750320971,40,0,120,60,12,0.0003176113653185053,1,16,0.75,0.011177380941224118,COMPLETE
63,0.005521852569654584,40,0,120,150,6,0.0005486261371988598,1,20,0.7999999999999999,0.027695692011095514,COMPLETE
64,0.007729148026555777,40,0,120,60,10,8.635120166677764e-05,1,20,0.7,0.012789067464943599,COMPLETE
